match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
11673958,,1,4,JgdbspFNb,2,3,1696094700,tirante-barrios-vera,FALSE
11673962,,4,,pFNbsHbwc,1,3,1696176000,heide-tirante,FALSE
11673963,,,,fTxsHbwc,1,3,1696087800,heide-jorda-sanchis,FALSE
11673993,,,Q,axvsGQHb,2,3,1696154400,ajdukovic-roca-batalla,FALSE
11674000,,Q,WC,QjHshlKb,2,3,1696086000,crawford-escobedo,FALSE
11674008,,,,PzLsIXxc,1,3,1696092300,shelbayh-peniston,FALSE
11674011,,WC,,hlKbsIXxc,2,3,1696172400,shelbayh-crawford,FALSE
11674026,,1,,oNfsaqVb,2,3,1696088700,machac-gasquet,FALSE
11674032,,,8,aqVbsZzdc,1,3,1696171500,draper-machac,FALSE
11674034,,8,2,ZzdcsccJc,1,3,1696081200,van-assche-draper,FALSE
11674074,1,8,2,JWrstOB,1,3,1696129200,kudermetova-pegula,FALSE
11674103,1,,3,XrIsFupb,1,3,1696078500,bublik-ofner,FALSE
11674105,1,5,WC,PqDbseDDc,1,3,1696239000,mededovic-korda,FALSE
11674110,2,4,WC,RUbcseDDc,2,3,1696140000,mededovic-lehecka,FALSE
11674111,2,,6,UrgsXrI,2,3,1696250400,ofner-mannarino,FALSE
11674112,1,6,Q,UrgsjdFb,1,3,1696152600,rodionov-mannarino,FALSE
11674113,2,,,YzrsXrI,2,3,1696161600,ofner-thiem,FALSE
11674114,2,1,5,tXYsPqDb,2,3,1696145400,korda-griekspoor,FALSE
11675440,2,,2,evpbsNhzb,2,3,1696221000,humbert-medvedev,FALSE
11675443,1,8,,nTxsHRK,1,3,1696230000,jarry-zverev,FALSE
11675444,1,1,,pvecsytkc,1,3,1696147200,alcaraz-musetti,FALSE
11675445,1,,6,GwjsvGHb,2,3,1696251600,sinner-dimitrov,FALSE
11675446,1,3,,Gwjsvlnc,2,3,1696159800,rune-dimitrov,FALSE
11675447,1,1,7,YJXsytkc,1,3,1696245900,alcaraz-ruud,FALSE
11675448,1,,7,YJXsWOrb,2,3,1696140900,etcheverry-ruud,FALSE
11675449,2,8,,nTxsgZmb,1,3,1696089300,davidovich-fokina-zverev,FALSE
11675450,2,,6,GKysvGHb,2,3,1696152900,sinner-nishioka,FALSE
11686269,2,,,UuqsonL,1,3,1696221000,kalinina-saville,FALSE
11686272,1,,,OVqsyVv,1,3,1696236600,brady-linette,FALSE
11686275,,,13,WOAsZFjc,2,3,1696227000,noskova-ostapenko,FALSE
11686276,2,12,,LWhsJwbb,2,3,1696239000,samsonova-kvitova,FALSE
11686281,2,WC,,iJCsWuBb,2,3,1696227600,yuan-paolini,FALSE
11688311,,,4,jQRbstMgd,,3,1696086000,razeghi-smith,TRUE
11696863,2,5,8,IaJbsBbhc,2,3,1696075200,bouquier-glinka,FALSE
11697105,2,14,,rFhsOVq,2,3,1696079100,linette-azarenka,FALSE
11697107,1,1,WC,kOLsefnb,1,3,1696142100,sabalenka-kenin,FALSE
11697108,1,,15,cUysiJC,1,3,1696129200,paolini-haddad-maia,FALSE
11697110,2,,5,mBzbsJfdc,2,3,1696246200,zheng-rybakina,FALSE
11697112,2,WC,,ZFjcspczc,2,3,1696158300,tian-noskova,FALSE
11697113,1,12,WC,LWhsYmOb,1,3,1696165500,wang-xiy-kvitova,FALSE
11697117,2,,,JwbbskDNb,2,3,1696134600,parks-samsonova,FALSE
11697118,1,,,XWhswDxc,1,3,1696149900,fruhvirtova-rus,FALSE
11697119,1,,WC,YphsGYPb,1,3,1696221000,wang-xin-zvonareva,FALSE
11697120,1,,11,kqKsvXcb,2,3,1696226400,kasatkina-sherif,FALSE
11697121,1,,,rwosJlt,1,3,1696215600,zhu-tsurenko,FALSE
11697122,2,,3,jfCsIZfc,2,3,1696239600,gauff-alexandrova,FALSE
11697123,1,8,,onLseglb,2,3,1696134600,vondrousova-kalinina,FALSE
11697124,2,,,UuqsBXD,1,3,1696134600,siniakova-saville,FALSE
11697126,1,,2,RhzsxpQb,2,3,1696219500,swiatek-sorribes-tormo,FALSE
11697152,2,,5,WlKbspbod,1,3,1696081500,sonobe-sleeth,FALSE
11697216,1,7,,hgYbsRacd,2,3,1696079700,gentzsch-stewart,FALSE
11697223,2,Q,,hRHbsbQqc,1,3,1696090200,biolay-urrutia,FALSE
11697237,2,,,CMOsGlIc,2,3,1696078800,ambrogi-kestelboim,FALSE
11697262,1,Q,2,oZCsnDuc,1,3,1696086000,sierra-estable,FALSE
11697278,2,Q,5,zGHbsgcIb,1,3,1696101300,grant-angele,FALSE
11697304,1,3,2,jYhcspVuc,2,3,1696086900,bueno-guillen-meza,FALSE
11697306,2,4,2,nvObsjQRb,2,3,1696091400,smith-draxl,FALSE
11697309,2,1,4,hxIsuRuc,2,3,1696078200,janicijevic-capurro-taborda,FALSE
11697316,2,1,WC,MCvsooTb,1,3,1696104000,kessler-townsend,FALSE
11698042,2,4,8,EhMsOyU,2,3,1696096500,zarazua-shymanovich,FALSE
11698055,1,1,2,auBbsJDwc,2,3,1696122000,yang-ma,FALSE
11698354,,,,VXedsZHmd,1,3,1696118400,braund-viiala,FALSE
11698355,,,,JMgcsvjdd,2,3,1696118400,dunn-birrell,FALSE
11698356,,,,BWKdspnWd,1,3,1696127400,richards-bagaric,FALSE
11698357,,,,FoldsgRHd,1,3,1696118400,elia-wilkinson,FALSE
11698358,,,,pwIbsvwud,2,3,1696127400,babakian-omalley,FALSE
11698359,,,,aCtbsMdud,1,3,1696118400,decruy-xiangruyi-ji,FALSE
11698360,,,,TKUbsREEd,2,3,1696127400,jesser-bayldon,FALSE
11698361,,,,bPGcsnHFd,1,3,1696118400,korhonen-nelson,FALSE
11698362,,,,pdlcsiPGc,1,3,1696118400,scheers-karpinski,FALSE
11698363,,,WC,NjvdscrXd,1,3,1696118400,weeks-callaghan,FALSE
11698364,,,WC,uHEdsdrXd,1,3,1696118400,asquith-vickery,FALSE
11698365,,,,dXXbsfNjc,2,3,1696131000,prescott-poulos,FALSE
11698366,,,,MFFdsnnWd,2,3,1696118400,kose-lewindon,FALSE
11698367,,,,FlfdsvnWd,2,3,1696127400,thorogood-marinkov,FALSE
11698368,,,,Gamdsnwud,1,3,1696118400,spencer-yan,FALSE
11698369,,,,mwudsHUHd,2,3,1696127400,shetty-santitto,FALSE
11698370,,,,RUBbsGrbd,1,3,1696118400,rowing-dumitru,FALSE
11698371,,,,ffZbsWbad,2,3,1696118400,stallworthy-fry,FALSE
11698372,,,,lHFdserXd,1,3,1696127400,chan-meafua-uren,FALSE
11698373,,,,fULcscpnd,2,3,1696127400,adam-gedge-howe,FALSE
11698374,,,,DMgcsfrXd,1,3,1696127400,coetzee-oster,FALSE
11698375,,,,fPGcsBQZc,2,3,1696118400,inoue-power,FALSE
11698376,,,,PFFdsirXd,2,3,1696118400,pese-sato,FALSE
11698377,,,,HaEbsgrXd,2,3,1696118400,shamim-chikaraishi,FALSE
11698378,,,,KgndshrXd,2,3,1696118400,cetinay-kim,FALSE
11698379,2,6,2,EPqsjgKb,2,3,1696143600,parker-safwat,FALSE
11698395,1,Q,Q,ziAsaAD,2,3,1696156500,frech-boulter,FALSE
11698397,2,10,Q,YhzsBKmd,2,3,1696159500,andreeva-krejcikova,FALSE
11698398,2,Q,13,WOAsypLb,2,3,1696148400,lys-ostapenko,FALSE
11698399,1,Q,7,bixsmvzc,2,3,1696227300,krueger-jabeur,FALSE
11698400,2,,Q,VktsnjR,2,3,1696140900,bouzkova-putintseva,FALSE
11698401,1,Q,9,OWqsIwu,2,3,1696221000,baindl-garcia,FALSE
11698402,1,,Q,yVvsVwec,1,3,1696143000,stearns-brady,FALSE
11698403,2,1,2,HfHbspWrc,1,3,1696143600,kubka-kuzmova,FALSE
11698476,2,,7,hlucsxPDc,2,3,1696150200,gaubas-gill,FALSE
11698477,2,3,5,AwpcsGeid,2,3,1696148400,feistel-martynov,FALSE
11698544,2,,2,cHHbsWMHc,2,3,1696143600,milev-tabur,FALSE
11698550,2,1,3,mDnbsrjkc,2,3,1696154100,paulson-vacherot,FALSE
11698683,1,3,4,jBvscOLc,1,3,1696149000,privara-cid-subervi,FALSE
11698735,2,6,7,UUDsMEOc,2,3,1696149000,bartunkova-hobgarski,FALSE
11698749,2,,5,TeCstEBc,2,3,1696150800,ruzic-gjorcheska,FALSE
11698757,1,Q,,oYcbsgMCb,1,3,1696154400,berberovic-guerrero-alvarez,FALSE
11698861,1,,8,IaJbshgYb,2,3,1696163400,stewart-glinka,FALSE
11698870,,,,FQjdsPutd,2,3,1696154400,shumsky-sinitsyn,FALSE
11698871,,,,kBVdsZaXd,2,3,1696143600,kalenteridis-stroumpos-iliescu,FALSE
11698872,,,,lcVcsIVPd,1,3,1696150800,ispasescu-jakupi,FALSE
11698873,,,,XwudsrGFd,1,3,1696150800,popov-vladimirov,FALSE
11698874,,,,czzsMkrd,2,3,1696147200,cankov-shevkedov,FALSE
11698875,,,,XchdsECUd,2,3,1696154400,torcq-lazarov,FALSE
11698876,,,,bKecsntXd,2,3,1696143600,panayotov-anand,FALSE
11698877,,,,zewcsyEPd,1,3,1696143600,kirilov-aregger,FALSE
11698878,,,,zOZbsdbGd,2,3,1696150800,valtsis-bueno-gil,FALSE
11698879,,,,UYDdsrtGd,1,3,1696143600,marinov-kravec,FALSE
11698880,,,,tpocsxqoc,1,3,1696143600,penev-kardzhiev,FALSE
11698881,,,,boWdsotXd,1,3,1696154400,bonev-norrman,FALSE
11698882,,,,dEOsofUc,2,3,1696143600,anhelov-shandarov,FALSE
11698883,,,,bEOsabTd,1,3,1696150800,baychev-milushev,FALSE
11698884,,,,LYkdsmtXd,1,3,1696143600,tomov-krischke,FALSE
11698885,,1,,ugDbsvEPd,1,3,1696154400,genchev-vanta,FALSE
11698931,,8,,oYmbshqHb,2,3,1696152600,loccisano-cortegiani,FALSE
